"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3391","addToCart","All Test Suite","2026-06-09","passed","2026-06-09","testcases.TestCheckoutPage","D:/04_Learning/Projects/web-automation-wafilife/src/test/java/testcases","testcases.TestCheckoutPage","addToCart"
"","3818","loginWithValidCredentials","Default Suite","2026-06-09","passed","2026-06-09","testcases.TestMethods","web-automation-wafilife","testcases.TestMethods","loginWithValidCredentials"
"","3451","checkout","All Test Suite","2026-06-09","passed","2026-06-09","testcases.TestCheckoutPage","D:/04_Learning/Projects/web-automation-wafilife/src/test/java/testcases","testcases.TestCheckoutPage","checkout"
"","3350","loginWithEmptyCredentials","All Test Suite","2026-06-09","passed","2026-06-09","testcases.TestSignupPage","D:/04_Learning/Projects/web-automation-wafilife/src/test/java/testcases","testcases.TestSignupPage","loginWithEmptyCredentials"
"","6219","loginWithInvalidCredentials","Default Suite","2026-06-09","passed","2026-06-09","testcases.TestSignupPage","web-automation-wafilife","testcases.TestSignupPage","loginWithInvalidCredentials"
"","15848","loginWithInvalidCredentials","Default Suite","2026-06-09","broken","2026-06-09","testcases.TestSignupPage","web-automation-wafilife","testcases.TestSignupPage","loginWithInvalidCredentials"
"","3057","logout","All Test Suite","2026-06-09","failed","2026-06-09","testcases.TestCheckoutPage","D:/04_Learning/Projects/web-automation-wafilife/src/test/java/testcases","testcases.TestCheckoutPage","logout"
"","3837","login","All Test Suite","2026-06-09","passed","2026-06-09","testcases.TestCheckoutPage","D:/04_Learning/Projects/web-automation-wafilife/src/test/java/testcases","testcases.TestCheckoutPage","login"
"","5038","loginWithInvalidCredentials","Default Suite","2026-06-09","passed","2026-06-09","testcases.TestSignupPage","web-automation-wafilife","testcases.TestSignupPage","loginWithInvalidCredentials"
"","18391","order","Default Suite","2026-06-09","passed","2026-06-09","testcases.TestCheckoutPage","web-automation-wafilife","testcases.TestCheckoutPage","order"
"","22660","login","Default Suite","2026-06-09","passed","2026-06-09","testcases.TestFullProcessFlow","web-automation-wafilife","testcases.TestFullProcessFlow","login"
"","14379","loginWithInvalidCredentials","Default Suite","2026-06-09","broken","2026-06-09","testcases.TestSignupPage","web-automation-wafilife","testcases.TestSignupPage","loginWithInvalidCredentials"
"","15790","fullTest","All Test Suite","2026-06-09","passed","2026-06-09","testcases.TestFullProcessFlow","D:/04_Learning/Projects/web-automation-wafilife/src/test/java/testcases","testcases.TestFullProcessFlow","fullTest"
"","14010","loginWithInvalidCredentials","Default Suite","2026-06-09","broken","2026-06-09","testcases.TestSignupPage","web-automation-wafilife","testcases.TestSignupPage","loginWithInvalidCredentials"
"","3790","testMethods","Default Suite","2026-06-05","broken","2026-06-05","testcases.TestMethods","web-automation-wafilife","testcases.TestMethods","testMethods"
"","6663","loginWithInvalidCredentials","Default Suite","2026-06-09","passed","2026-06-09","testcases.TestSignupPage","web-automation-wafilife","testcases.TestSignupPage","loginWithInvalidCredentials"
"","3671","loginWithInvalidPassword","All Test Suite","2026-06-09","passed","2026-06-09","testcases.TestSignupPage","D:/04_Learning/Projects/web-automation-wafilife/src/test/java/testcases","testcases.TestSignupPage","loginWithInvalidPassword"
"","2745","loginWithInvalidEmail","All Test Suite","2026-06-09","passed","2026-06-09","testcases.TestSignupPage","D:/04_Learning/Projects/web-automation-wafilife/src/test/java/testcases","testcases.TestSignupPage","loginWithInvalidEmail"
"","4811","loginWithValidCredentials","All Test Suite","2026-06-09","passed","2026-06-09","testcases.TestSignupPage","D:/04_Learning/Projects/web-automation-wafilife/src/test/java/testcases","testcases.TestSignupPage","loginWithValidCredentials"
